minmod_id,name,aliases,geokb_name,geokb_id,is_critical_commodity,mrds_code
Q617,Zirconium,Zr,zirconium,Q404,1,ZR
Q618,rare earth elements,,rare earth elements,Q290,0,REE
Q619,Ash,,ash,Q41910,0,ASH
Q620,Bromine,Br,bromine,Q305,0,BR
Q621,Calcium,Ca,calcium,Q307,0,CA
Q622,Chlorine,Cl,chlorine,Q312,0,CL
Q623,Flint,,flint,Q450,0,FLN
Q624,Granite,,granite,Q462,0,GRT
Q625,Hydrogen,H,hydrogen,Q334,0,H
Q626,"Gemstone, Jade",,jade,Q455,0,GEM_J
Q628,Metal,,metal,Q473,0,_M
Q629,Pyrophyllite,,pyrophyllite,Q162625,0,PPY
Q630,Quartz,,quartz,Q162627,0,QTZ
Q631,Radium,Ra,radium,Q369,0,RA
Q632,Staurolite,,staurolite,Q162679,0,STA
Q633,Sulfur,S,sulfur,Q384,0,S
Q634,Travertine,,travertine,Q41438,0,TRA
Q635,Vermiculite,,vermiculite,Q162738,0,VRM
Q636,Wollastonite,,wollastonite,Q162757,0,WOL
Q637,Coal,,,,0,COA
Q638,Energy,,,,0,_E
Q639,Flagstone,,,,0,STN_F
Q640,"Lead, Refiner",,,,0,PB_R
Q641,"Lead, Smelter",,,,0,PB_S
Q642,"Nickel, Laterite",,,,0,NI_L
Q643,"Nickel, Refiner",,,,0,NI_R
Q644,"Nickel, Smelter",,,,0,NI_S
Q645,Olivine,,,,0,OLV
Q646,Peat,,,,0,PEA
Q647,Perlite,,,,0,PER
Q648,Petroleum (Oil),,,,0,OIL
Q649,"Petroleum (Oil), Gilsonite",,,,0,OIL_G
Q650,"Petroleum (Oil), Oil Sands",,,,0,OIL_SA
Q651,"Petroleum (Oil), Oil Shale",,,,0,OIL_SH
Q652,"Petroleum (Oil), Rock Asphalt",,,,0,OIL_R
Q653,Phosphorus-Phosphates,,,,0,P
Q654,Pyrite,,,,0,PYR
Q655,Sand,,,,0,SD
Q656,Sand and Gravel,,,,0,SDG
Q657,Silica,,,,0,SIL
Q658,"Silica, Ferrosilicon",,,,0,SIL_F
Q659,Slate,,,,0,SLA
Q660,Sodium,,,,0,NA
Q661,"Sodium, Halite",,,,0,NA_H
Q662,"Sodium, Salt",,,,0,NA_S
Q663,Stone,,,,0,STN
Q664,"Stone, Crushed/Broken",,,,0,STN_C
Q665,"Stone, Dimension",,,,0,STN_D
Q666,Sulfides,,,,0,SUL
Q667,"Sulfur, Iron Pyrite",,,,0,S_P
Q668,"Sulfur, Sulfuric Acid",,,,0,S_A
Q669,Talc-Soapstone,,,,0,TLC
Q670,"Tantalum, Tin Slag",,,,0,TA_S
Q671,"Tin, Tailings",,,,0,SN_T
Q672,"Titanium, Heavy Minerals",,,,0,TI_HM
Q673,"Titanium, Ilmenite",,,,0,TI_I
Q674,"Titanium, Metal",,,,0,TI_M
Q675,"Titanium, Pigment",,,,0,TI_P
Q676,"Titanium, Rutile",,,,0,TI_R
Q677,"Tungsten, Mill Concentrate",,,,0,W_C
Q678,"Tungsten, Refinery",,,,0,W_R
Q679,Volcanic Materials,,,,0,VOL
Q680,Water,,,,0,H2O
Q681,Zeolites,,,,0,ZEO
Q682,"Zinc, Refiner",,,,0,ZN_R
Q683,"Zinc, Smelter",,,,0,ZN_S
Q684,Barium,Ba,barium,Q299,0,
Q685,Silicon,Si,silicon,Q380,0,
Q686,Lanthanum,La,lanthanum,Q340,1,
Q687,Cerium,Ce,cerium,Q310,1,
Q688,Praseodymium,Pr,praseodymium,Q366,1,
Q689,Yttrium,Y,yttrium,Q402,1,
Q690,Neodymium,Nd,neodymium,Q351,1,
Q691,Samarium,Sm,samarium,Q376,1,
Q692,Europium,Eu,europium,Q322,1,
Q693,Gadolinium,Gd,gadolinium,Q326,1,
Q694,Terbium,Tb,terbium,Q388,1,
Q695,Dysprosium,Dy,dysprosium,Q319,1,
Q696,Holmium,Ho,holmium,Q333,1,
Q697,Erbium,Er,erbium,Q321,1,
Q698,Thulium,Tm,thulium,Q391,1,
Q699,Ytterbium,Yb,ytterbium,Q401,1,
Q700,Lutetium,Lu,lutetium,Q344,1,
Q10000,Promethium,Pm,promethium,Q367,1,
Q10001,Magnesium,Mg,magnesium,Q345,1,
